type,page,url,follow,Link Position,Link Origin
HTTP Redirect,https://www.clubcorp.com/sitemap.xml/,https://www.clubcorp.com/sitemap.xml,True,,HTTP
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/contentassets/c87fcd08931147a6a1612fb3de45caf1/clubcorp_overview_weddings_12/,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/globalassets/tampa-palms_golfer_011.jpg/,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/contentassets/7136045707d9442ea26e87d2289fe881/clubcorp_overview_membership_7/,True,,Sitemap XML
HTTP Redirect,https://www.clubcorp.com/globalassets/tampa-palms_golfer_011.jpg/,https://www.clubcorp.com/globalassets/tampa-palms_golfer_011.jpg,True,,HTTP
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/clublife-charities/e.p.c.f/corporate-site--epcf--guidelines,True,,Sitemap XML
HTTP Redirect,https://www.clubcorp.com/contentassets/c87fcd08931147a6a1612fb3de45caf1/clubcorp_overview_weddings_12/,https://www.clubcorp.com/contentassets/c87fcd08931147a6a1612fb3de45caf1/clubcorp_overview_weddings_12,True,,HTTP
HTTP Redirect,https://www.clubcorp.com/contentassets/7136045707d9442ea26e87d2289fe881/clubcorp_overview_membership_7/,https://www.clubcorp.com/contentassets/7136045707d9442ea26e87d2289fe881/clubcorp_overview_membership_7,True,,HTTP
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/news/clubcorp-continues-momentum-and-announces,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/tournaments-and-outings,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/tournaments-and-outings/atlanta-clubs,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/news/bigshots-golf,True,,Sitemap XML
HTTP Redirect,https://www.clubcorp.com/our-story/clublife-charities/e.p.c.f/corporate-site--epcf--guidelines,https://www.clubcorp.com/our-story/clublife-charities/e.c.f/corporate-site--epcf--guidelines,True,,HTTP
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/news/clubcorp-and-servcorp-form-strategic-alliance,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/privacy-policy,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/news/clubcorps-firestone-country-club,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/news/deerwood-golf-club,True,,Sitemap XML
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/,True,,Sitemap XML
